ID,DATE,NAME,PHONE,CITY,FEEDBACK/ISSUE,RATING
55,29-07-2021,Gino,9506182291,Fukuoka,WAfc,5
56,30-07-2021,Urias,9774254422,Ibiza,TTwf,3
57,28-07-2021,Jess,9170438102,Cannes,yjawx,1
58,03-08-2021,Girardo,9187523767,Split (city),GJPJ,5
59,29-07-2021,Bach,9854331694,Bahía Blanca,khrI,3
60,04-08-2021,Honoria,9364608327,Sri Jayawardenapura-Kotte,cOjOy,3
61,02-08-2021,Revkah,9536135064,Toronto,jDWn,4
62,29-07-2021,Anyah,9454793106,Omdurman,GIAFP,2
63,31-07-2021,Lowry,9991096904,San Antonio,gfksV,3
64,02-08-2021,Letsou,9178635756,Charlotte Amalie,JyFB,3
65,31-07-2021,Kendrick,9606216465,Hanoi,qKkpQ,5
66,29-07-2021,Dermott,9620780019,Quetzaltenango,mxZIG,4
67,03-08-2021,Gert,9787189093,Dubai,XILl,3
68,31-07-2021,Bevin,9151612229,Monrovia,Aoy Y,2
69,01-08-2021,Meli,9808064861,Basse-Terre,NxcIm,5
70,31-07-2021,Baptlsta,9231105817,Dodoma,yRS h,2
71,03-08-2021,Lucienne,9316067002,Ankara,FIRK,4
72,03-08-2021,Aida,9737605202,Chiang Mai,LnJe,4
73,02-08-2021,Claudine,9311817735,N'Djamena,HRPE,2
74,01-08-2021,Abram,9477336958,Hanga Roa,VzDY,4
75,28-07-2021,Tillford,9060509087,Aberdeen,  Dy,4
76,30-07-2021,Tryck,9029606384,Managua,kPiv,2
77,01-08-2021,Gerge,9899775973,Lilongwe,mOcj,4
78,28-07-2021,Paine,9811664659,Bratislava,FmDk,5
79,02-08-2021,Old,9697696447,Managua,m sX,3
80,29-07-2021,Socha,9068167683,Alofi,Maxw,4
81,31-07-2021,Kylander,9531291920,Santa Cruz de Tenerife,iwbJ,2
82,01-08-2021,Medrek,9116435975,Yerevan,kA e,5
83,28-07-2021,Cleavland,9060821204,Yerevan,eATSg,1
84,03-08-2021,Halla,9790221522,Harbin,PNIId,5
85,29-07-2021,Bigner,9751548170,Campinas,jlZf,5
86,01-08-2021,Keily,9704702623,Yekaterinburg,chyg,2
87,29-07-2021,Idelia,9777923291,Jayapura,HKwTm,1
88,31-07-2021,Odysseus,9053038782,Ouagadougou,yWhjT,1
89,02-08-2021,Markman,9167929916,Recife,yCmAm,3
90,29-07-2021,Bettine,9183759155,Fort-de-France,WgMBs,4
91,03-08-2021,Medrek,9914560394,La Paz,cyRKZ,4
92,28-07-2021,Georgy,9092319226,Belgrade,MtDsB,3
93,29-07-2021,Darian,9212740133,Yaoundé,wnvx,1
94,04-08-2021,Shaver,9468379952,Bulawayo,lMnS,2
95,31-07-2021,Bertold,9059525905,Córdoba,fISOL,1
96,29-07-2021,Juliet,9602949219,Monrovia,o PV,2
97,30-07-2021,Peti,9826150843,Davao City,pitR,1
98,30-07-2021,Leopold,9171033338,Tampere,kqVZ ,4
99,01-08-2021,Geffner,9338043543,Mexicali,jXOD,1
100,29-07-2021,Erminia,9836173348,Yangon,eeLN,3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
